shop_name,shop_star,shop_comment,shop_price,shop_region,shop_category,shop_district
友膳·津味烤羊腿(五大道店),4.7,382.0,154.0,五大道,烤羊腿,和平区
泰阿泰.泰国餐厅,4.3,1946.0,116.0,和平路,东南亚菜,和平区
金阁家常菜馆(贵阳路店),4.5,1589.0,53.0,滨江道,天津菜,和平区
天丼の匠·天妇罗饭专门店(天津伊势丹),4.8,1166.0,52.0,滨江道,日本料理,和平区
九號烧肉.夜食,4.2,92.0,63.0,西康路沿线,韩式烤肉,和平区
味蜀吾老火锅,4.9,5004.0,98.0,鞍山道沿线,四川火锅,和平区
津门糕手•提拉米苏专门店,4.8,4559.0,49.0,滨江道,甜品,和平区
上帝厨房(和平店),4.7,938.0,99.0,五大道,火锅,和平区
六国三春·川菜(环球金融中心店),4.4,1337.0,158.0,和平路,川菜馆,和平区
大胡子•海鲜烧烤大排档(荣安大街店),4.4,4328.0,85.0,南市,烤串,和平区
北菜阿五·北点北面(国贸店),4.7,217.0,77.0,小白楼,东北菜,和平区
川越泰·泰式海鲜火锅(吉利大厦店),4.9,1926.0,129.0,滨江道,泰式火锅,和平区
北李妈妈菜(恒隆广场店),4.8,21410.0,79.0,和平路,东北菜,和平区
顺水行粥(五大道店),4.5,254.0,48.0,五大道,粥店,和平区
王牌大虾(南市旗舰店),4.0,399.0,69.0,南市,虾蟹火锅,和平区
该爷大炸院·乐山油炸串串·跷脚牛肉(滨江道店),4.8,103.0,48.0,滨江道,川菜馆,和平区
成记潮汕粥(五大道店),4.8,2096.0,100.0,五大道,广州菜,和平区
江户时代日式自助烤肉,4.8,463.0,260.0,和平路,日式自助,和平区
椒媚川菜.水煮鱼(天河城店),4.8,6128.0,90.0,滨江道,酸菜鱼/水煮鱼,和平区
芳竹园火锅(友谊新天地店),4.9,467.0,64.0,滨江道,四川火锅,和平区
老金铜锅涮羊肉·烧烤,4.0,1010.0,66.0,南市,老北京火锅,和平区
芳竹园火锅(欧乐店),4.9,3273.0,68.0,滨江道,四川火锅,和平区
肥猫烤翅(锦州道店),4.6,10303.0,55.0,滨江道,烤翅,和平区
野紫苏日式火锅•放题(和平保利广场店),4.8,2913.0,145.0,南市,自助餐,和平区
Laksa House 叻唦之屋,4.5,2695.0,47.0,滨江道,东南亚菜,和平区
鑫海汇烤肉海鲜自助(滨江道店),4.7,33710.0,70.0,滨江道,自助餐,和平区
竹藏日本料理(解放北路店),4.7,707.0,167.0,小白楼,日本料理,和平区
鱻伊家,4.9,287.0,73.0,鞍山道沿线,日本料理,和平区
唐拉雅秀酒店-唐苑中餐厅,4.5,419.0,111.0,滨江道,粤菜馆,和平区
不二大虾火锅(恒隆店),4.8,180.0,71.0,和平路,海鲜火锅,和平区
东方之珠粤味海鲜城(和平店),4.4,3617.0,97.0,五大道,粤菜馆,和平区
觅思特铁板鸡(滨江道店),4.8,252.0,66.0,滨江道,韩国料理,和平区
炙上烤肉(麦购店),4.5,271.0,72.0,滨江道,融合烤肉,和平区
牛华巷·明炉牛腩煲(保利广场店),4.1,30.0,50.0,南市,火锅,和平区
狗不理大酒店(和平店),4.0,3461.0,124.0,和平路,天津菜,和平区
食度·猪肚鸡火锅(恒隆广场店),4.8,1501.0,115.0,和平路,猪肚鸡火锅,和平区
木村·京都Omakase料理,4.9,794.0,1525.0,滨江道,日本料理,和平区
天津大学四十二斋餐厅,4.6,900.0,51.0,海光寺/六里台,天津菜,和平区
鲸岚·酩町中式酒馆(营口道店),4.8,1637.0,97.0,滨江道,融合烤肉,和平区
懒人瞎吃,4.6,338.0,41.0,滨江道,其他美食,和平区
峰豪食府,4.2,225.0,60.0,海光寺/六里台,特色菜,和平区
王婆大虾(南开店),4.3,721.0,63.0,海光寺/六里台,虾蟹火锅,和平区
稻吉深夜酒场·烧鸟(四平东道店),4.9,991.0,125.0,和平路,日本料理,和平区
Turka土耳咖·Gourmet(滨江道店),4.8,489.0,85.0,和平路,西餐,和平区
凤厨顺德菜,4.0,7.0,,五大道,顺德菜,和平区
烧江南烤肉(天河城店),4.7,1311.0,122.0,和平路,融合烤肉,和平区
半天妖烤鱼(保利店),4.9,1839.0,67.0,南市,烤鱼,和平区
杨小涛跷脚牛肉面(天津一店),4.5,2711.0,41.0,小白楼,面馆,和平区
盛茂祥砂锅(湖北路店),4.7,628.0,30.0,小白楼,天津菜,和平区
首跑蹄儿餐厅,4.7,2162.0,88.0,南市,韩国料理,和平区
刀叉遇上筷子·夜宵(和平店),4.9,6771.0,91.0,滨江道,西餐,和平区
三合醉串酒场,4.8,495.0,172.0,南市,日本料理,和平区
热啊餐厅东南亚美食(和平大悦城店),4.6,4164.0,77.0,滨江道,南洋中菜,和平区
王婆大虾(友谊新天地店),4.4,1582.0,78.0,滨江道,虾蟹火锅,和平区
大千炉匠·日料全餐,4.5,41.0,116.0,五大道,日本料理,和平区
1618清真公馆(马场道店),4.1,1030.0,230.0,五大道,私房菜,和平区
渔鸽仔·烧烤乳鸽海鲜·夜宵(成都道店),4.5,100.0,107.0,五大道,烤串,和平区
哥凹糕(滨江道店),4.3,1559.0,32.0,滨江道,甜品,和平区
辣小二脆毛肚火锅(万德庄旗舰店),4.8,1236.0,103.0,海光寺/六里台,重庆火锅,和平区
粤秀小厨,4.5,1399.0,99.0,滨江道,粤菜馆,和平区
牛庵·M12-Class和牛烤肉料理(和平恒隆广场店),4.8,2163.0,252.0,和平路,融合烤肉,和平区
家兴餐厅(辽宁路店),4.7,543.0,71.0,和平路,天津菜,和平区
鱼酷活鱼烤鱼(乐宾店),4.8,4648.0,94.0,滨江道,烤鱼,和平区
